protein1,protein2,pred
PF3D7_0415900,PF3D7_1019400,0.370503786824598
PF3D7_0415900,PF3D7_1358800,0.410802451729919
PF3D7_0415900,PF3D7_1338200,0.409863088235945
PF3D7_0415900,PF3D7_1441200,0.40513863050328
PF3D7_0415900,PF3D7_0614500,0.349522867531167
PF3D7_0415900,PF3D7_1426000,0.329004322369306
PF3D7_0415900,PF3D7_0217800,0.322261536015664
PF3D7_0415900,PF3D7_1130100,0.788759400113779
PF3D7_0415900,PF3D7_1130200,0.262528780305857
PF3D7_0415900,PF3D7_1341200,0.259401789593534
PF3D7_0415900,PF3D7_1309100,0.258743014700492
PF3D7_0415900,PF3D7_1341300,0.255634139378367
PF3D7_0415900,PF3D7_0706400,0.19467720636901
PF3D7_1004000,PF3D7_0507100,0.931644842400171
PF3D7_1004000,PF3D7_1124900,0.818906313945254
PF3D7_1004000,PF3D7_1323100,0.802791299756919
PF3D7_1004000,PF3D7_1424400,0.923604542839999
PF3D7_1004000,PF3D7_0618300,0.887809092575431
PF3D7_1004000,PF3D7_1414300,0.798457964232582
PF3D7_1004000,PF3D7_0814000,0.922465882157983
PF3D7_1004000,PF3D7_1431700,0.836977013328347
PF3D7_1004000,PF3D7_1342000,0.516803404472405
PF3D7_1004000,PF3D7_1351400,0.882422479259427
PF3D7_1004000,PF3D7_0307200,0.599083860625787
PF3D7_1004000,PF3D7_0519400,0.526514995117714
PF3D7_1004000,PF3D7_0710600,0.717425149404771
PF3D7_1004000,PF3D7_1460700,0.667821667525652
PF3D7_1004000,PF3D7_1323400,0.645828048039256
PF3D7_1004000,PF3D7_1144000,0.539885369241544
PF3D7_1004000,PF3D7_1461300,0.577752965788789
PF3D7_1004000,PF3D7_1105400,0.467896952608703
PF3D7_1004000,PF3D7_1302800,0.41711561875112
PF3D7_1004000,PF3D7_1331800,0.459724271131602
PF3D7_1004000,PF3D7_0517000,0.566451522508184
PF3D7_1004000,PF3D7_1408600,0.448648145389022
PF3D7_1004000,PF3D7_0721600,0.394464473160506
PF3D7_1004000,PF3D7_1109900,0.473612940653534
PF3D7_1004000,PF3D7_0520000,0.44161912365499
PF3D7_1004000,PF3D7_1421200,0.53257625004156
PF3D7_1004000,PF3D7_0322900,0.455028274616759
PF3D7_1004000,PF3D7_0422400,0.468803859681314
PF3D7_1004000,PF3D7_1027800,0.454436050164276
PF3D7_1004000,PF3D7_1019400,0.489763999187273
PF3D7_1004000,PF3D7_1358800,0.496790499446731
PF3D7_1004000,PF3D7_1338200,0.458509617110935
PF3D7_1004000,PF3D7_1441200,0.2868494626173
