protein1,protein2,pred
PF3D7_0503800,PF3D7_1424400,0.604228717676827
PF3D7_0503800,PF3D7_1130100,0.621566296462808
PF3D7_0503800,PF3D7_0710600,0.684190404375822
PF3D7_0503800,PF3D7_0614500,0.862115902456523
PF3D7_0503800,PF3D7_1105400,0.735246042500573
PF3D7_0503800,PF3D7_0517000,0.575120826641542
PF3D7_0503800,PF3D7_1302800,0.618307617211196
PF3D7_0503800,PF3D7_0813900,0.507793477231581
PF3D7_0503800,PF3D7_1341200,0.698637406784258
PF3D7_0503800,PF3D7_0719700,0.752020893591542
PF3D7_0503800,PF3D7_0312800,0.963150119290977
PF3D7_0503800,PF3D7_0516900,0.791579798838436
PF3D7_0503800,PF3D7_1003500,0.512255955278966
PF3D7_0503800,PF3D7_1358800,0.550851551049882
PF3D7_0503800,PF3D7_1426000,0.841504113622368
PF3D7_0503800,PF3D7_0422400,0.716554296529095
PF3D7_0503800,PF3D7_0814000,0.66392087833254
PF3D7_0503800,PF3D7_1424100,0.517313842919551
PF3D7_0503800,PF3D7_1331800,0.605621296957849
PF3D7_0503800,PF3D7_0706400,0.54059613179796
PF3D7_0507100,PF3D7_1421200,0.628525889685616
PF3D7_0507100,PF3D7_1004000,0.767804800407782
PF3D7_0507100,PF3D7_1460700,0.817059011261621
PF3D7_0507100,PF3D7_1323400,0.903365824785127
PF3D7_0507100,PF3D7_0520000,0.575998828128338
PF3D7_0507100,PF3D7_1142600,0.677319933585714
PF3D7_0507100,PF3D7_0618300,0.532685199407279
PF3D7_0507100,PF3D7_1027800,0.778737145977707
PF3D7_0507100,PF3D7_1342000,0.731632289436987
PF3D7_0507100,PF3D7_1323100,0.976169080009184
PF3D7_0507100,PF3D7_1341300,0.992673011894856
PF3D7_0507100,PF3D7_0322900,0.759947821459972
PF3D7_0507100,PF3D7_1414300,1.00773755865451
PF3D7_0507100,PF3D7_1447000,0.619247854054939
PF3D7_0507100,PF3D7_0415900,0.673749655945258
PF3D7_0507100,PF3D7_1124900,0.924193875776919
PF3D7_0507100,PF3D7_1309100,0.560459127128762
PF3D7_0507100,PF3D7_1431700,0.9389467500559
PF3D7_0507100,PF3D7_0306900,0.98781362439541
PF3D7_0507100,PF3D7_1424400,0.850879441625877
PF3D7_0507100,PF3D7_1130100,0.72517961033105
PF3D7_0507100,PF3D7_0710600,0.711971527463292
PF3D7_0507100,PF3D7_0614500,0.962371150718108
PF3D7_0507100,PF3D7_1105400,0.792981212778725
PF3D7_0507100,PF3D7_0517000,0.788599730138161
PF3D7_0507100,PF3D7_1302800,0.786700092744298
PF3D7_0507100,PF3D7_0813900,0.579244746767022
PF3D7_0507100,PF3D7_1341200,0.979719095998635
PF3D7_0507100,PF3D7_0719700,0.926424915567725
PF3D7_0507100,PF3D7_0312800,0.924755988770701
PF3D7_0507100,PF3D7_0516900,0.707995849067645
PF3D7_0507100,PF3D7_1003500,0.572006009772328
PF3D7_0507100,PF3D7_1358800,0.784806430167517
PF3D7_0507100,PF3D7_1426000,0.994615061445045
PF3D7_0507100,PF3D7_0422400,0.597597300751159
PF3D7_0507100,PF3D7_0814000,0.847415515332503
PF3D7_0507100,PF3D7_1126200,0.51663371224855
PF3D7_0507100,PF3D7_1424100,0.726206743464947
PF3D7_0507100,PF3D7_1331800,0.662787066674614
